lambda,step,response_length_mean,response_length_clip_ratio,critic_score_mean,actor_kl_loss,val_test_score
0.0,1,355.889,0.297,0.438,0.000,
0.0,2,336.936,0.254,0.371,0.000,
0.0,3,301.654,0.158,0.410,0.018,
0.0,4,255.689,0.045,0.486,0.016,
0.0,5,249.686,0.029,0.553,0.053,
0.0,6,252.592,0.018,0.510,0.071,
0.0,7,257.424,0.023,0.512,0.023,
0.0,8,245.432,0.027,0.600,0.055,
0.0,9,273.264,0.039,0.506,0.034,
0.0,10,255.807,0.016,0.549,0.042,
0.0,11,248.236,0.016,0.629,0.071,
0.0,12,268.301,0.023,0.504,0.078,
0.0,13,240.521,0.018,0.684,0.093,
0.0,14,223.750,0.006,0.594,0.102,
0.0,15,234.115,0.016,0.566,0.101,
0.0,16,233.893,0.004,0.637,0.161,
0.0,17,228.684,0.014,0.568,0.174,
0.0,18,235.449,0.018,0.574,0.065,
0.0,19,232.902,0.014,0.574,0.094,
0.0,20,217.342,0.002,0.658,0.080,
0.0,21,223.969,0.004,0.609,0.073,
0.0,22,214.557,0.002,0.666,0.094,
0.0,23,229.904,0.000,0.553,0.129,
0.0,24,222.445,0.018,0.590,0.104,
0.0,25,227.930,0.004,0.564,0.113,0.497
0.0,26,223.168,0.012,0.592,0.112,
0.0,27,221.090,0.006,0.605,0.131,
0.0,28,216.449,0.006,0.615,0.133,
0.0,29,215.809,0.000,0.611,0.248,
0.0,30,220.578,0.012,0.646,0.084,
0.0,31,237.145,0.016,0.553,0.140,
0.0,32,241.980,0.012,0.574,0.082,
0.0,33,232.361,0.012,0.613,0.100,
0.0,34,245.357,0.021,0.559,0.079,
0.0,35,217.381,0.014,0.637,0.091,
0.0,36,226.910,0.010,0.590,0.073,
0.0,37,233.533,0.010,0.576,0.131,
0.0,38,226.932,0.002,0.592,0.188,
0.0,39,240.756,0.016,0.551,0.047,
0.0,40,226.180,0.018,0.658,0.215,
0.0,41,231.584,0.021,0.596,0.100,
0.0,42,230.156,0.014,0.604,0.113,
0.0,43,221.369,0.006,0.691,0.111,
0.0,44,240.131,0.012,0.574,0.093,
0.0,45,235.863,0.012,0.605,0.202,
0.0,46,223.980,0.008,0.666,0.299,
0.0,47,234.438,0.016,0.639,0.218,
0.0,48,208.971,0.002,0.693,0.280,
0.0,49,218.924,0.006,0.705,0.194,
0.01,1,376.787,0.357,0.397,0.000,
0.01,2,342.867,0.293,0.382,0.000,
0.01,3,282.312,0.086,0.405,0.017,
0.01,4,229.955,0.057,0.454,0.025,
0.01,5,242.887,0.033,0.552,0.037,
0.01,6,221.240,0.025,0.494,0.031,
0.05,1,327.443,0.258,0.447,0.000,
0.05,2,364.449,0.297,0.398,0.000,
0.05,3,284.217,0.080,0.511,0.008,
0.05,4,288.986,0.037,0.519,0.014,
0.05,5,281.492,0.039,0.490,0.019,
0.05,6,255.008,0.010,0.497,0.029,
0.05,7,244.318,0.004,0.607,0.037,
0.05,8,233.033,0.004,0.581,0.036,
0.05,9,211.006,0.035,0.554,0.034,
0.05,10,179.160,0.002,0.477,0.111,
0.05,11,138.434,0.006,0.401,0.107,
0.1,1,350.744,0.281,0.367,0.000,
0.1,2,353.244,0.281,0.359,0.000,
0.1,3,274.797,0.057,0.505,0.011,
0.1,4,286.064,0.047,0.511,0.016,
0.1,5,262.980,0.012,0.599,0.092,
0.1,6,214.375,0.004,0.544,0.063,
0.1,7,165.391,0.006,0.518,0.043,
0.1,8,179.625,0.018,0.477,0.098,
0.1,9,177.416,0.000,0.616,0.157,
0.1,10,177.660,0.016,0.500,0.061,
0.1,11,155.285,0.000,0.505,0.110,
0.1,12,128.537,0.006,0.479,0.156,
0.1,13,123.367,0.004,0.439,0.110,
0.1,14,111.822,0.004,0.435,0.227,
0.1,15,93.666,0.000,0.447,0.164,
0.1,16,92.061,0.002,0.382,0.204,
0.1,17,90.014,0.000,0.334,0.404,
0.1,18,85.721,0.000,0.335,0.909,
0.1,19,82.127,0.000,0.283,0.826,
0.1,20,77.711,0.000,0.276,0.426,
0.1,21,77.652,0.000,0.372,0.200,
0.1,22,78.994,0.000,0.369,0.560,
0.1,23,75.379,0.004,0.403,0.408,
0.1,24,77.807,0.000,0.399,0.339,
0.1,25,74.506,0.000,0.425,0.598,0.331
0.1,26,80.904,0.000,0.406,0.394,
0.1,27,82.455,0.000,0.496,0.626,
0.1,28,88.402,0.004,0.440,0.349,
0.1,29,77.652,0.002,0.379,0.839,
0.1,30,83.635,0.004,0.458,0.494,
0.1,31,74.039,0.000,0.404,1.254,
0.1,32,70.490,0.000,0.383,0.737,
0.1,33,63.936,0.000,0.243,0.834,
0.1,34,60.570,0.002,0.312,0.623,
0.1,35,55.963,0.000,0.300,0.988,
0.1,36,56.379,0.000,0.284,0.846,
0.1,37,52.537,0.000,0.265,1.448,
0.1,38,46.969,0.000,0.196,0.892,
0.1,39,44.639,0.000,0.191,1.671,
0.1,40,39.369,0.000,0.139,1.626,
0.1,41,35.268,0.002,0.157,1.852,
0.1,42,31.730,0.000,0.090,2.214,
0.1,43,24.389,0.000,0.101,1.995,
0.1,44,19.676,0.000,0.084,3.555,
0.1,45,13.174,0.000,0.040,2.790,
0.1,46,7.211,0.000,0.034,5.229,
0.1,47,5.305,0.000,0.034,6.991,
